OVRL_HEALTH,SELFDESC_WEIGHT,MIN_MOD_PA,MIN_VIG_PA,DAY_STR_EXR,SUB_ANY_TOBACCO,SUB_ANY_ALCOHOL,SUB_ANY_CANNABIS,SUB_3MO_TOBACCO,SUB_3MO_ALCOHOL,SUB_3MO_CANNABIS,AGE,SUGAR_7D
Good,About the right weight,120,15,1,Yes,Yes,Yes,Never,Once or twice,Once or twice,18,0
Very Good,Slightly overweight,180,30,0,Yes,Yes,Yes,Never,Daily or almost daily,Never,40,0
Fair,Slightly overweight,120,30,1,No,Yes,No,,Once or twice,,18,16
Poor,Very overweight,1260,180,1,No,Yes,Yes,,Once or twice,Daily or almost daily,18,2
Good,About the right weight,0,0,0,No,Yes,No,,Once or twice,,19,0
Very Good,About the right weight,300,120,6,No,No,No,,,,18,0
Good,About the right weight,180,850,0,No,Yes,No,,Once or twice,,18,4
Very Good,About the right weight,420,0,3,No,No,No,,,,38,0
Fair,Slightly overweight,480,200,3,Yes,Yes,Yes,Once or twice,Monthly,Monthly,18,6
Good,Very overweight,350,0,0,No,Yes,Yes,,Never,Never,18,8
Good,About the right weight,180,60,0,Yes,Yes,Yes,Never,Monthly,Daily or almost daily,22,3
Very Good,About the right weight,120,30,2,No,No,No,,,,27,8
Excellent,About the right weight,210,0,1,Yes,Yes,Yes,Once or twice,Once or twice,Monthly,24,12
Very Good,About the right weight,30,0,0,No,No,No,,,,22,2
Fair,About the right weight,60,60,7,No,Yes,No,,Monthly,,18,12
Good,About the right weight,300,60,3,Yes,Yes,Yes,Weekly,Monthly,Once or twice,18,4
Very Good,About the right weight,4320,0,1,No,Yes,No,,Never,,23,18
Good,About the right weight,120,180,2,No,No,No,,,,18,2
Very Good,Slightly underweight,250,60,1,No,Yes,No,,Monthly,,18,9
Good,Very overweight,90,20,0,Yes,Yes,Yes,Never,Weekly,Never,31,2
Good,Slightly overweight,180,60,0,No,Yes,No,,Weekly,,21,1
Very Good,About the right weight,45,30,4,No,No,No,,,,18,0
Very Good,About the right weight,240,30,0,No,Yes,No,,Once or twice,,21,0
Very Good,About the right weight,840,240,7,Yes,Yes,Yes,Daily or almost daily,Weekly,Daily or almost daily,18,0
Very Good,About the right weight,220,120,0,No,Yes,No,,Weekly,,29,0
Good,About the right weight,300,120,3,Yes,Yes,Yes,Never,Once or twice,Never,20,0
Very Good,About the right weight,60,70,2,No,No,No,,,,19,2
Fair,Slightly overweight,360,240,1,No,No,No,,,,18,4
Very Good,About the right weight,0,0,0,No,Yes,No,,Once or twice,,21,2
Fair,Slightly underweight,210,90,6,No,No,No,,,,19,0
Very Good,About the right weight,60,30,0,No,Yes,No,,Monthly,,21,0
Good,Very overweight,60,,0,No,Yes,Yes,,Once or twice,Never,40,0
Very Good,Slightly overweight,120,60,1,Yes,Yes,Yes,Monthly,Weekly,Weekly,29,0
Good,Slightly underweight,240,240,3,Yes,Yes,Yes,Weekly,Monthly,Never,19,10
Good,About the right weight,360,360,0,No,No,No,,,,19,1
Fair,About the right weight,120,0,0,Yes,Yes,Yes,Never,Never,Never,19,2
Good,About the right weight,180,0,0,No,No,No,,,,18,8
Fair,Slightly overweight,30,0,0,No,Yes,No,,Daily or almost daily,,18,2
Very Good,About the right weight,240,0,0,No,Yes,No,,Never,,30,0
Very Good,About the right weight,100,90,1,No,Yes,No,,Once or twice,,26,3
Good,Slightly underweight,,,0,No,Yes,No,,Weekly,,35,0
Very Good,Slightly overweight,210,30,0,No,Yes,No,,Never,,18,21
Excellent,Slightly overweight,240,0,1,No,No,No,,,,38,2
Good,Slightly overweight,120,60,7,No,No,No,,,,19,5
Fair,Slightly overweight,180,120,0,No,No,No,,,,18,0
Good,Very overweight,300,10,0,No,No,No,,,,19,2
Good,About the right weight,60,0,0,No,No,No,,,,18,5
Excellent,About the right weight,150,120,1,No,No,No,,,,18,6
Very Good,About the right weight,120,0,0,No,No,No,,,,49,0
Fair,Slightly underweight,10,0,0,No,No,No,,,,40,1
Very Good,Slightly overweight,180,120,3,No,No,No,,,,18,0
Very Good,About the right weight,60,0,0,No,Yes,Yes,,Once or twice,Never,23,7
Excellent,About the right weight,60,0,3,No,Yes,No,,Never,,21,0
Very Good,About the right weight,120,60,0,No,Yes,Yes,,Weekly,Weekly,21,3
Very Good,Slightly overweight,60,2,0,Yes,Yes,Yes,Weekly,Weekly,Daily or almost daily,18,2
Fair,Slightly overweight,120,0,0,No,Yes,No,,Weekly,,23,0
Good,About the right weight,0,0,0,No,No,No,,,,18,0
Good,About the right weight,120,30,7,No,No,No,,,,28,0
Fair,Slightly underweight,60,0,0,No,No,No,,,,18,0
Good,Very overweight,60,30,1,No,Yes,Yes,,Once or twice,Once or twice,18,0
Fair,Slightly underweight,60,120,0,No,No,No,,,,40,1
Good,About the right weight,600,0,0,No,Yes,Yes,,Monthly,Never,19,2
Poor,Slightly overweight,60,60,1,Yes,Yes,Yes,Never,Once or twice,Monthly,18,0
Excellent,About the right weight,420,60,1,No,Yes,No,,Weekly,,30,1
Good,Very overweight,200,0,0,Yes,Yes,Yes,Never,Monthly,Weekly,29,0
Good,About the right weight,0,0,0,No,Yes,Yes,,Never,Once or twice,22,8
,Very overweight,100,0,2,Yes,Yes,Yes,Never,Once or twice,Never,20,1
Fair,Slightly overweight,60,0,0,Yes,Yes,Yes,Once or twice,Monthly,Daily or almost daily,28,10
Good,Slightly overweight,60,0,0,No,No,No,,,,19,12
Very Good,About the right weight,0,0,0,No,No,No,,,,19,2
Excellent,About the right weight,20,0,3,No,Yes,No,,Once or twice,,26,8
Good,About the right weight,0,0,0,Yes,Yes,Yes,Never,Once or twice,Never,18,0
Good,About the right weight,180,0,0,No,No,No,,,,21,6
Good,Slightly overweight,40,,0,No,No,No,,,,18,0
Very Good,About the right weight,300,60,3,No,Yes,Yes,,Never,Never,35,1
Good,Slightly overweight,360,120,7,No,Yes,No,,Once or twice,,21,1
Good,About the right weight,60,90,5,No,Yes,No,,Once or twice,,19,1
Good,Slightly overweight,700,0,0,No,Yes,Yes,,Never,Once or twice,19,7
Very Good,Slightly overweight,120,0,0,Yes,Yes,Yes,Monthly,Weekly,Never,24,1
Very Good,Slightly overweight,280,15,1,No,Yes,Yes,,Never,Never,18,2
Excellent,About the right weight,300,20,2,No,No,No,,,,18,1
Excellent,About the right weight,120,60,1,No,No,No,,,,18,2
Excellent,About the right weight,1800,0,2,No,No,No,,,,19,0
Very Good,Slightly overweight,40,15,2,No,No,No,,,,18,3
Very Good,Slightly overweight,2400,0,0,Yes,Yes,Yes,Once or twice,Once or twice,Once or twice,21,24
Good,Slightly overweight,240,0,1,No,Yes,No,,Once or twice,,29,4
Good,About the right weight,200,200,7,No,No,No,,,,18,0
Very Good,About the right weight,130,76,2,No,No,No,,,,18,2
Good,About the right weight,240,0,1,No,No,No,,,,19,3
Good,About the right weight,60,120,5,No,No,No,,,,18,1
Very Good,About the right weight,300,200,5,No,No,No,,,,18,5
Fair,Very overweight,90,0,0,No,No,No,,,,46,7
Good,About the right weight,180,30,1,No,Yes,No,,Monthly,,21,0
Good,Slightly overweight,180,90,6,Yes,Yes,Yes,Never,Once or twice,Once or twice,55,2
Very Good,About the right weight,360,60,0,No,Yes,No,,Once or twice,,26,
Excellent,About the right weight,60,0,1,No,No,No,,,,44,0
Good,Slightly overweight,170,30,0,No,No,No,,,,18,0
Good,About the right weight,60,180,5,No,Yes,Yes,,Daily or almost daily,Once or twice,22,4
Good,Slightly overweight,300,100,3,No,No,No,,,,19,0
Fair,Very overweight,90,0,3,No,No,No,,,,18,2
Excellent,About the right weight,48,15,5,No,No,No,,,,19,0
Good,Slightly overweight,0,0,1,Yes,Yes,No,Daily or almost daily,Once or twice,,47,2
Very Good,Slightly overweight,140,100,2,No,No,No,,,,18,1
Very Good,About the right weight,600,700,3,No,No,No,,,,18,0
Good,Slightly underweight,120,0,0,No,No,Yes,,,Once or twice,21,0
Very Good,About the right weight,210,0,5,No,No,No,,,,18,2
Good,Slightly overweight,90,60,2,Yes,Yes,Yes,Never,Once or twice,Daily or almost daily,20,2
Good,About the right weight,60,0,1,No,Yes,No,,Once or twice,,19,1
Very Good,Slightly overweight,120,30,1,No,No,No,,,,18,0
Good,Slightly underweight,60,0,0,No,Yes,Yes,,Monthly,Once or twice,21,2
Good,Slightly underweight,120,0,1,No,No,No,,,,18,0
,Slightly underweight,75,0,0,No,Yes,Yes,,Once or twice,Never,19,0
Very Good,Slightly overweight,120,0,0,No,Yes,No,,Once or twice,,21,0
Good,About the right weight,240,60,0,No,No,No,,,,20,1
Very Good,About the right weight,180,0,5,No,No,No,,,,18,1
Very Good,Slightly overweight,240,0,0,No,No,No,,,,19,6
Good,About the right weight,180,0,1,No,No,No,,,,19,12
Fair,About the right weight,,,2,No,No,No,,,,19,0
Good,Very overweight,60,0,2,Yes,Yes,Yes,Never,Monthly,Monthly,18,4
Fair,Slightly overweight,1000,200,3,Yes,Yes,Yes,Never,Once or twice,Daily or almost daily,25,0
Very Good,About the right weight,180,180,3,No,Yes,Yes,,Once or twice,Once or twice,21,2
Very Good,About the right weight,100,150,3,No,Yes,Yes,,Weekly,Monthly,33,0
Very Good,Slightly underweight,,,0,No,No,No,,,,18,0
Very Good,Slightly underweight,3,3,3,No,No,No,,,,24,2
Very Good,About the right weight,120,60,7,Yes,Yes,Yes,Once or twice,Weekly,Monthly,45,0
Good,Slightly overweight,270,120,2,Yes,Yes,Yes,Daily or almost daily,Weekly,Monthly,19,2
Good,Slightly underweight,30,15,1,No,No,No,,,,18,9
Good,Slightly overweight,20,0,0,Yes,Yes,Yes,Once or twice,Once or twice,Never,19,0
Excellent,About the right weight,480,60,0,Yes,Yes,No,Once or twice,Once or twice,,18,7
Excellent,About the right weight,300,600,7,No,Yes,No,,Once or twice,,40,1
Good,About the right weight,,,7,No,No,No,,,,,
Very Good,About the right weight,120,120,0,No,Yes,Yes,,Never,Never,26,1
Good,Slightly overweight,60,0,0,Yes,Yes,No,Never,Once or twice,,18,0
Very Good,About the right weight,300,480,4,No,No,No,,,,19,1
Poor,Very overweight,300,30,0,No,Yes,No,,Once or twice,,21,2
Excellent,About the right weight,300,120,4,Yes,Yes,No,Never,Once or twice,,25,1
Very Good,About the right weight,360,0,0,No,Yes,No,,Once or twice,,18,2
Very Good,About the right weight,300,180,2,No,No,No,,,,20,5
Good,About the right weight,60,120,0,No,No,No,,,,18,3
Very Good,Slightly overweight,60,0,2,No,No,No,,,,19,8
Very Good,About the right weight,80,120,4,No,No,No,,,,18,0
Good,Slightly overweight,500,30,1,Yes,Yes,No,Daily or almost daily,Weekly,,45,0
Excellent,About the right weight,300,300,5,No,Yes,No,,Monthly,,31,0
,Slightly overweight,65,0,1,No,No,Yes,,,Once or twice,18,1
Good,About the right weight,90,0,0,No,No,Yes,,,Weekly,18,1
Good,Slightly overweight,300,0,0,Yes,Yes,Yes,Never,Monthly,Never,24,3
Excellent,Slightly overweight,300,60,1,Yes,Yes,Yes,Monthly,Monthly,Monthly,24,0
Fair,About the right weight,210,30,1,No,No,No,,,,18,1
Good,Very overweight,150,20,2,No,No,No,,,,41,0
Good,Slightly underweight,10,0,0,No,No,No,,,,18,1
Very Good,About the right weight,30,0,1,No,No,No,,,,19,0
Good,Slightly overweight,100,0,0,No,Yes,Yes,,Once or twice,Never,19,3
Very Good,About the right weight,60,0,0,No,Yes,Yes,,Never,Never,18,0
Fair,Very overweight,210,0,2,Yes,Yes,Yes,Never,Once or twice,Never,19,1
Poor,Very overweight,123,0,0,No,No,No,,,,22,0
Excellent,About the right weight,60,60,0,No,Yes,No,,Never,,24,5
Excellent,Slightly overweight,120,120,1,No,No,Yes,,,Once or twice,18,2
Excellent,About the right weight,500,,0,No,No,No,,,,19,8
Very Good,Slightly underweight,120,30,0,No,No,Yes,,,Daily or almost daily,20,4
Very Good,Slightly overweight,240,360,6,No,No,No,,,,18,2
Excellent,About the right weight,120,0,0,Yes,Yes,No,Never,Monthly,,23,0
Poor,Very underweight,120,0,1,Yes,Yes,Yes,Never,Never,Once or twice,18,6
Good,Slightly overweight,240,0,0,No,No,No,,,,18,2
Fair,About the right weight,120,30,3,No,No,No,,,,18,0
Good,Slightly overweight,3500,180,3,No,Yes,Yes,,Once or twice,Never,25,3
Good,Slightly overweight,140,0,0,No,Yes,Yes,,Never,Never,22,4
Fair,Slightly overweight,0,0,0,No,Yes,No,,Never,,21,4
Good,About the right weight,600,0,0,No,Yes,No,,,,42,1
Excellent,About the right weight,630,0,3,No,No,No,,,,18,15
Very Good,Slightly overweight,120,0,3,No,Yes,Yes,,Monthly,Once or twice,40,1
Fair,About the right weight,1600,900,4,No,No,No,,,,33,0
Good,About the right weight,84,60,3,No,Yes,Yes,,Monthly,Daily or almost daily,20,12
Very Good,About the right weight,100,200,5,No,No,No,,,,19,2
Good,Slightly overweight,180,60,3,No,No,,,,,21,5
Good,Very overweight,90,10,0,No,Yes,No,,Never,,46,3
Good,Slightly overweight,60,0,0,Yes,Yes,Yes,Once or twice,Never,Daily or almost daily,18,0
Good,Slightly overweight,480,0,0,No,Yes,No,,Weekly,,37,2
Very Good,Slightly overweight,120,180,3,Yes,Yes,Yes,Never,Never,Never,43,0
Very Good,About the right weight,90,60,3,Yes,Yes,No,Never,Once or twice,,25,0
Good,Slightly overweight,25,0,6,No,No,No,,,,18,6
Good,Slightly underweight,20,30,2,No,Yes,No,,Once or twice,,18,4
Fair,About the right weight,0,0,0,No,No,No,,,,18,2
Very Good,Slightly overweight,60,0,0,No,No,No,,,,18,18
Fair,Slightly overweight,164,0,0,Yes,No,No,Never,,,19,4
Good,About the right weight,180,20,1,No,Yes,No,,Once or twice,,18,1
Good,Slightly overweight,120,0,0,Yes,Yes,No,Once or twice,Monthly,,18,0
Good,About the right weight,210,0,0,No,Yes,Yes,,Weekly,Monthly,26,0
Fair,Slightly overweight,45,0,0,No,Yes,No,,Once or twice,,24,0
Good,Slightly underweight,120,0,2,No,No,No,,,,18,10
Very Good,About the right weight,240,200,0,No,Yes,No,,Once or twice,,24,7
Good,Slightly overweight,360,0,0,Yes,Yes,Yes,Weekly,Once or twice,Never,19,0
Very Good,Slightly overweight,480,24,3,Yes,Yes,Yes,Daily or almost daily,Monthly,Daily or almost daily,22,2
Good,Very overweight,5,0,0,Yes,Yes,Yes,Once or twice,Monthly,Daily or almost daily,29,2
Good,About the right weight,450,60,0,No,Yes,No,,Never,,18,0
Good,About the right weight,420,180,6,No,No,No,,,,18,0
Good,Slightly overweight,60,0,2,No,No,No,,,,25,0
Fair,About the right weight,90,230,4,No,No,No,,,,20,0
Very Good,About the right weight,1000,60,1,Yes,Yes,Yes,Once or twice,Monthly,Never,22,5
Good,Slightly underweight,0,0,0,No,No,No,,,,19,5
Good,Slightly overweight,180,0,0,Yes,Yes,Yes,Never,Once or twice,Monthly,18,1
Good,About the right weight,600,90,3,No,Yes,No,,Once or twice,,18,0
Fair,Very overweight,155,0,0,No,No,No,,,,32,10
Good,Slightly overweight,900,0,0,No,No,No,,,,49,0
Good,Slightly overweight,60,20,0,Yes,Yes,Yes,Never,Never,Never,18,0
Good,About the right weight,120,0,0,Yes,Yes,Yes,Never,Weekly,Once or twice,58,10
Good,Slightly overweight,60,0,1,No,No,No,,,,18,1
Good,Slightly overweight,80,150,2,No,No,No,,,,19,0
Good,Slightly overweight,240,60,0,No,Yes,Yes,,Never,Never,20,10
Very Good,About the right weight,120,35,1,No,No,No,,,,18,3
Good,About the right weight,160,30,1,No,Yes,No,,Once or twice,,18,3
Excellent,About the right weight,600,600,7,Yes,Yes,Yes,Never,Never,Never,28,0
Good,Slightly underweight,10,0,0,Yes,Yes,Yes,Daily or almost daily,Weekly,Once or twice,23,0
Excellent,About the right weight,60,30,3,No,No,No,,,,18,1
Fair,Slightly overweight,210,30,1,No,Yes,No,,Never,,18,3
Good,About the right weight,60,0,0,No,No,No,,,,23,1
Good,Slightly overweight,240,60,0,Yes,Yes,Yes,Weekly,Monthly,Monthly,18,1
Fair,Slightly overweight,1000,30,7,No,No,No,,,,18,0
Fair,Slightly overweight,60,0,0,No,Yes,Yes,,Never,Never,21,1
Good,Slightly overweight,30,0,0,Yes,Yes,Yes,Daily or almost daily,Monthly,Never,18,0
Fair,About the right weight,120,60,3,No,No,No,,,,18,7
Very Good,About the right weight,90,0,0,No,Yes,Yes,,Once or twice,Never,32,0
Good,About the right weight,120,300,3,No,Yes,Yes,,Monthly,Weekly,23,12
Very Good,Slightly overweight,60,60,2,No,Yes,Yes,,Monthly,Never,22,1
Good,Slightly overweight,120,0,0,No,No,No,,,,19,10
Good,Slightly overweight,35,60,2,No,No,No,,,,20,2
Good,About the right weight,200,90,0,No,No,No,,,,18,1
Very Good,Slightly overweight,180,0,0,No,No,No,,,,22,4
Very Good,Slightly overweight,60,0,0,No,No,No,,,,18,0
Very Good,About the right weight,900,600,3,No,No,No,,,,,7
Very Good,About the right weight,0,0,0,No,No,No,,,,,0
Good,Slightly underweight,30,0,0,No,No,No,,,,18,
Fair,Very overweight,20,0,0,Yes,Yes,Yes,Never,Once or twice,Never,35,7
Fair,Slightly overweight,20,0,0,No,No,No,,,,18,0
Excellent,About the right weight,120,420,6,Yes,Yes,No,Never,Once or twice,,56,0
Good,About the right weight,420,0,0,Yes,Yes,Yes,Never,Weekly,Never,25,0
Fair,About the right weight,180,0,0,No,Yes,No,,Once or twice,,20,2
Good,About the right weight,300,30,5,Yes,Yes,Yes,Daily or almost daily,Weekly,Once or twice,21,1
Very Good,Slightly overweight,200,100,3,No,No,No,,,,18,0
Poor,Slightly overweight,400,120,0,No,Yes,No,,Never,,26,2
Fair,Slightly overweight,2800,30,0,Yes,Yes,Yes,Daily or almost daily,Once or twice,Weekly,20,0
Good,About the right weight,180,60,2,Yes,Yes,Yes,Weekly,Weekly,Daily or almost daily,22,0
Very Good,About the right weight,60,0,0,Yes,Yes,No,Never,Once or twice,,31,0
Fair,About the right weight,45,0,0,No,No,No,,,,18,2
Good,Slightly underweight,120,30,2,No,No,No,,,,19,1
Very Good,About the right weight,90,90,3,Yes,Yes,Yes,Never,Daily or almost daily,Daily or almost daily,27,2
Very Good,About the right weight,60,400,0,No,No,No,,,,19,0
Good,Slightly overweight,,80,2,No,No,No,,,,19,0
Good,About the right weight,30,0,0,No,Yes,No,,Never,,18,20
Very Good,Slightly overweight,45,0,0,Yes,Yes,Yes,Once or twice,Weekly,Daily or almost daily,21,0
Very Good,About the right weight,60,0,0,Yes,Yes,Yes,Once or twice,Monthly,Weekly,18,2
Good,About the right weight,240,0,2,Yes,Yes,Yes,Once or twice,Weekly,Daily or almost daily,22,5
Good,About the right weight,360,60,3,No,No,No,,,,45,0
Good,Very overweight,180,120,3,Yes,Yes,Yes,Never,Weekly,Never,25,0
Very Good,About the right weight,480,120,2,No,Yes,No,,Once or twice,,18,8
Good,Slightly overweight,130,50,0,No,No,Yes,,,Once or twice,19,8
Very Good,Very overweight,60,0,1,Yes,Yes,Yes,Never,Monthly,Once or twice,25,2
Good,Very overweight,1000,60,2,No,Yes,No,,,,26,0
Very Good,Slightly overweight,120,0,1,Yes,Yes,Yes,Once or twice,Once or twice,Never,24,2
Fair,Very overweight,180,0,0,No,No,No,,,,31,2
Very Good,Slightly underweight,120,45,0,No,Yes,Yes,,Weekly,Never,22,7
Good,About the right weight,90,0,0,No,Yes,Yes,,Once or twice,Once or twice,18,12
Fair,Very overweight,0,0,0,No,Yes,No,,Never,,41,0
,Slightly overweight,180,0,0,No,Yes,No,,Once or twice,,31,2
Good,About the right weight,300,100,1,Yes,Yes,Yes,Daily or almost daily,Monthly,Weekly,18,0
Good,Slightly overweight,40,25,1,Yes,Yes,Yes,Never,Weekly,Never,27,0
Good,About the right weight,600,300,2,Yes,Yes,Yes,Monthly,Monthly,Monthly,22,2
Very Good,About the right weight,400,100,1,No,Yes,Yes,,Never,Never,23,4
Good,About the right weight,360,60,1,Yes,Yes,Yes,Monthly,Monthly,Never,29,0
Very Good,Slightly overweight,300,60,0,Yes,Yes,Yes,Once or twice,Weekly,Once or twice,24,0
Good,Very overweight,30,0,2,No,Yes,Yes,,Once or twice,Daily or almost daily,30,0
Good,About the right weight,300,0,0,Yes,Yes,Yes,Once or twice,Once or twice,Never,18,1
Very Good,Slightly underweight,210,150,2,Yes,Yes,Yes,Never,Weekly,Weekly,27,1
Very Good,Slightly overweight,120,40,0,No,No,No,,,,,0
Excellent,About the right weight,420,90,4,Yes,Yes,Yes,Never,Weekly,Never,30,0
Good,Slightly overweight,180,0,0,No,Yes,Yes,,Weekly,Never,29,3
Fair,About the right weight,130,0,4,Yes,Yes,Yes,Daily or almost daily,Once or twice,Weekly,19,6
Good,Slightly overweight,20,0,1,No,Yes,No,,Monthly,,27,3
Good,Slightly overweight,150,30,0,Yes,Yes,Yes,Once or twice,Monthly,Once or twice,18,0
Excellent,About the right weight,60,200,4,Yes,Yes,Yes,Never,Daily or almost daily,Once or twice,28,0
Very Good,About the right weight,300,300,1,No,Yes,Yes,,Weekly,Weekly,28,2
Excellent,About the right weight,500,300,3,Yes,Yes,Yes,Never,Monthly,Never,31,0
Excellent,About the right weight,128,60,3,No,No,No,,,,18,4
Good,About the right weight,60,30,0,No,No,No,,,,25,0
Excellent,About the right weight,300,300,1,Yes,Yes,Yes,Never,Weekly,Never,29,0
Good,About the right weight,100,200,2,Yes,Yes,Yes,Never,Weekly,Daily or almost daily,31,0
Good,Slightly underweight,210,120,3,No,No,No,,,,27,1
Good,Slightly underweight,150,100,4,No,No,No,,,,28,1
Very Good,About the right weight,60,5,0,Yes,Yes,Yes,Once or twice,Weekly,Once or twice,52,0
Good,Slightly underweight,250,160,5,No,No,No,,,,21,0
Fair,About the right weight,120,60,1,No,Yes,Yes,,Weekly,Never,25,2
Fair,Slightly overweight,45,0,0,Yes,Yes,Yes,Never,Once or twice,Once or twice,19,10
Very Good,About the right weight,600,60,4,No,No,No,,,,42,6
Fair,About the right weight,420,0,0,No,Yes,No,,Weekly,,22,1
Excellent,About the right weight,90,90,7,No,Yes,Yes,,Weekly,Once or twice,22,0
Very Good,About the right weight,500,100,4,Yes,Yes,Yes,Daily or almost daily,Weekly,Monthly,35,0
Very Good,Slightly underweight,180,60,0,Yes,Yes,Yes,Never,Daily or almost daily,Weekly,29,0
Good,About the right weight,30,15,2,No,Yes,No,,Monthly,,23,3
Good,Slightly overweight,225,225,5,No,Yes,No,,Weekly,,35,0
Very Good,About the right weight,120,360,3,Yes,Yes,Yes,Never,Once or twice,Once or twice,23,4
Very Good,About the right weight,40,120,2,Yes,Yes,Yes,Weekly,Weekly,Never,26,1
Good,Very overweight,60,10,3,No,No,Yes,,,Weekly,50,14
Very Good,About the right weight,350,30,0,No,Yes,No,,Weekly,,46,2
Very Good,Very underweight,60,0,2,Yes,Yes,Yes,Never,Weekly,Never,28,0
Very Good,Slightly overweight,120,30,3,No,Yes,No,,Monthly,,28,4
Good,Very overweight,150,0,4,Yes,Yes,Yes,Never,Once or twice,Never,63,1
Fair,Slightly overweight,0,0,0,Yes,Yes,Yes,Never,Weekly,Once or twice,26,10
Good,Slightly overweight,250,150,3,No,No,Yes,,,Daily or almost daily,26,0
Very Good,About the right weight,540,460,6,No,Yes,Yes,,Weekly,Never,25,0
Very Good,Slightly overweight,60,60,7,Yes,Yes,Yes,Never,Daily or almost daily,Once or twice,44,7
Fair,Very overweight,15,0,0,No,No,No,,,,52,1
Very Good,About the right weight,210,0,2,No,Yes,Yes,,Monthly,Once or twice,22,24
Very Good,About the right weight,180,180,6,No,Yes,No,,Weekly,,44,0
Excellent,About the right weight,960,360,6,Yes,Yes,Yes,Never,Weekly,Never,27,0
Very Good,About the right weight,600,0,1,No,Yes,No,,Once or twice,,35,2
Very Good,About the right weight,200,280,3,No,Yes,No,,Daily or almost daily,,28,0
Good,Slightly overweight,30,110,1,No,No,No,,,,33,0
Fair,Slightly overweight,240,0,0,No,Yes,Yes,,Weekly,Never,29,1
Very Good,Very overweight,60,60,3,No,No,No,,,,58,0
Very Good,Very overweight,200,60,2,Yes,Yes,Yes,Never,Weekly,Never,57,0
Poor,Slightly overweight,120,0,0,Yes,Yes,Yes,Never,Weekly,Weekly,35,0
Excellent,About the right weight,180,45,4,No,Yes,Yes,,Monthly,Monthly,47,2
Fair,About the right weight,90,70,5,Yes,Yes,Yes,Never,Never,Never,19,4
Very Good,Slightly overweight,140,0,3,Yes,Yes,No,Once or twice,Monthly,,28,3
Very Good,Slightly underweight,120,30,1,No,No,No,,,,18,6
Excellent,Slightly overweight,120,60,1,Yes,Yes,Yes,Never,Weekly,Never,30,0
Good,About the right weight,45,180,0,No,Yes,Yes,,Once or twice,Once or twice,27,6
Good,About the right weight,120,0,0,No,No,No,,,,39,2
Good,About the right weight,150,60,3,No,Yes,No,,Monthly,,19,6
Very Good,About the right weight,600,180,2,No,Yes,No,,Once or twice,,23,25
Good,Very overweight,20,0,0,No,Yes,No,,Never,,29,0
Very Good,Slightly overweight,120,35,3,Yes,Yes,Yes,Once or twice,Weekly,Once or twice,21,2
Fair,Slightly overweight,45,0,2,No,No,No,,,,18,2
Good,Slightly underweight,60,0,1,No,No,No,,,,26,1
,Slightly overweight,150,150,0,No,Yes,Yes,,Weekly,Never,52,0
Very Good,About the right weight,240,0,1,Yes,Yes,Yes,Weekly,Weekly,Once or twice,24,0
Good,Slightly overweight,360,60,0,Yes,Yes,Yes,Once or twice,Monthly,Daily or almost daily,21,4
Very Good,About the right weight,120,60,1,No,No,No,,,,50,2
Very Good,About the right weight,420,60,3,No,Yes,No,,Once or twice,,24,0
Very Good,About the right weight,500,120,3,No,Yes,Yes,,Weekly,Never,30,1
Excellent,Very overweight,60,0,0,No,Yes,No,,Never,,39,0
Excellent,Slightly overweight,120,100,2,Yes,Yes,No,Never,Monthly,,35,0
Good,Slightly overweight,500,120,4,No,Yes,Yes,,Weekly,Once or twice,37,1
Very Good,About the right weight,360,0,0,Yes,Yes,Yes,Never,Never,Weekly,18,0
Very Good,About the right weight,420,30,0,No,No,No,,,,47,8
Good,About the right weight,500,60,3,Yes,Yes,Yes,Never,Once or twice,Never,33,1
Very Good,About the right weight,250,0,0,No,Yes,Yes,,Never,Never,28,0
Fair,About the right weight,420,30,1,No,Yes,No,,Monthly,,33,1
Very Good,Slightly overweight,80,0,1,Yes,Yes,Yes,Once or twice,Monthly,Daily or almost daily,22,2
Very Good,About the right weight,500,167,6,No,Yes,Yes,,Weekly,Never,35,0
Very Good,About the right weight,200,20,0,Yes,Yes,Yes,Never,Weekly,Monthly,41,0
Excellent,About the right weight,350,10,5,No,No,No,,,,26,0
Poor,Very overweight,0,0,0,No,No,No,,,,20,0
Very Good,Slightly overweight,60,0,0,Yes,Yes,Yes,Never,Once or twice,Never,35,0
Very Good,Very overweight,60,30,1,No,No,Yes,,,Once or twice,21,2
Good,Slightly overweight,120,40,3,Yes,Yes,Yes,Never,Monthly,Never,23,1
Very Good,Slightly overweight,0,0,0,No,Yes,No,,Once or twice,,45,0
Good,About the right weight,700,60,3,Yes,Yes,No,Weekly,Monthly,,42,7
Excellent,Slightly underweight,60,0,0,No,No,No,,,,33,0
Good,About the right weight,20,0,0,No,Yes,Yes,,Never,Daily or almost daily,33,1
Good,About the right weight,30,60,0,No,Yes,No,,Never,,37,1
Very Good,About the right weight,300,180,0,Yes,Yes,Yes,Once or twice,Weekly,Monthly,27,0
,About the right weight,5,5,1,,,,,,,29,3
Good,Very overweight,715,568,7,Yes,Yes,Yes,Never,Weekly,Never,49,0
Good,About the right weight,300,180,3,No,Yes,Yes,,Weekly,Once or twice,21,4
Excellent,Slightly overweight,240,420,4,No,Yes,No,,Once or twice,,22,0
Good,Slightly overweight,600,300,4,Yes,Yes,Yes,Once or twice,Weekly,Daily or almost daily,24,3
